appid,developers,publishers
324160,VisualArts/Key,Sekai Project
446050,Magic Item Tech,Magic Item Tech
1644310,Flimmersoft,Flimmersoft
560640,Blue Entropy Studios,Blue Entropy Studios
727170,Andrey Bely,Narko Games
323250,iMaxGen,Shaman Games Studio
921060,Gameloft,Gameloft
1258960,Function Unknown,Function Unknown
1203140,RainbowStudio,RainbowStudio
1698670,Malerouille,Malerouille
1844480,unknown,unknown
1553970,Hede,Hede
368950,Emad,Emad
842760,Codrer,SQ7
1190590,Rafael Farias,Fiassink Games
1056610,Jesse Makkonen,Jesse Makkonen
671640,Reanimated Games,Reanimated Games
1679110,unknown,unknown
1689780,BeiJingShiJiHe_VAMD,BeiJingShiJiHe_VAMD
796920,Panic Ensues Software,Panic Ensues Software
1277610,King of salted fish,King of salted fish
486690,Maru Project Develop Team,Maru Project Develop Team
520750,Mad Triangles,Mad Triangles
1433930,ImperiumGame,ImperiumGame
1286350,Awe Interactive,Awe Interactive
833380,TephraSPB,TephraSPB
1797650,unknown,unknown
1154350,SimpleCMT,SimpleCMT
1848730,幽々燦々(yuyusansan),幽々燦々(yuyusansan)
693500,Tall James Games,Tall James Games
1555640,"Nathan Lin,Ritwik Kumar",Nathan Lin
1987050,Fake Fox,Fake Fox
1389700,IR Studio,IR Studio
672300,Sorcererstudios,Sorcererstudios
1550840,Bad Coffee Games,Bad Coffee Games
1284180,IR Studio,IR Studio
1413970,AVANTGARDE,Kagura Games
1946530,Artifex,"MEDICI E&S CO,.LTD"
1231130,"Play Systems,SGuerra Design",Play Systems
292240,Humongous Entertainment,"Humongous Entertainment,Nightdive Studios"
1952010,unknown,unknown
1056280,Digital Bento,Digital Bento
1174920,Campus ADN 2018-2019,Campus ADN
1842560,unknown,unknown
1034810,Locus Ludus,Locus Ludus
1591950,神族宝,神族宝
996920,Pixel Pinecone,Kajak Games
777380,desaccord art,desaccord art
837460,Unspeakable Pixels,DANGEN Entertainment
320820,Swordtales,Versus Evil
557680,Svarog Studios,Back To Basics Gaming
828710,Badri Bebua,Badri Bebua
887870,LoadUpGames.com,LoadUpGames.com
1108590,Fallen Flag Studio,"United Label,CI Games"
468820,DrashVR LLC,DrashVR LLC
1696800,unknown,unknown
605740,Nils Jakrins,Excalibur Games
753490,One Room Games,One Room Games
